[2026-05-29T14:13:38.364+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278316.json to Snowflake stage
[2026-05-29T14:13:38.688+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278338.json to Snowflake stage
[2026-05-29T14:13:39.024+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278358.json to Snowflake stage
[2026-05-29T14:13:39.350+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278381.json to Snowflake stage
[2026-05-29T14:13:39.763+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278400.json to Snowflake stage
[2026-05-29T14:13:40.083+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278422.json to Snowflake stage
[2026-05-29T14:13:40.409+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278444.json to Snowflake stage
[2026-05-29T14:13:40.737+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278476.json to Snowflake stage
[2026-05-29T14:13:41.059+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278497.json to Snowflake stage
[2026-05-29T14:13:41.382+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278533.json to Snowflake stage
[2026-05-29T14:13:41.706+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278568.json to Snowflake stage
[2026-05-29T14:13:42.029+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278592.json to Snowflake stage
[2026-05-29T14:13:42.376+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278616.json to Snowflake stage
[2026-05-29T14:13:42.703+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278640.json to Snowflake stage
[2026-05-29T14:13:43.040+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278667.json to Snowflake stage
[2026-05-29T14:13:43.368+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278697.json to Snowflake stage
[2026-05-29T14:13:43.718+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278735.json to Snowflake stage
[2026-05-29T14:13:44.077+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278777.json to Snowflake stage
[2026-05-29T14:13:44.539+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278812.json to Snowflake stage
[2026-05-29T14:13:44.919+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278865.json to Snowflake stage
[2026-05-29T14:13:45.313+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776278937.json to Snowflake stage
[2026-05-29T14:13:45.704+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279036.json to Snowflake stage
[2026-05-29T14:13:46.102+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279181.json to Snowflake stage
[2026-05-29T14:13:46.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279262.json to Snowflake stage
[2026-05-29T14:13:46.831+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279348.json to Snowflake stage
[2026-05-29T14:13:47.176+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279379.json to Snowflake stage
[2026-05-29T14:13:47.560+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279406.json to Snowflake stage
[2026-05-29T14:13:47.988+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279446.json to Snowflake stage
[2026-05-29T14:13:48.353+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279485.json to Snowflake stage
[2026-05-29T14:13:48.723+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279532.json to Snowflake stage
[2026-05-29T14:13:49.136+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279602.json to Snowflake stage
[2026-05-29T14:13:49.534+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279710.json to Snowflake stage
[2026-05-29T14:13:49.862+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279781.json to Snowflake stage
[2026-05-29T14:13:50.206+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279810.json to Snowflake stage
[2026-05-29T14:13:50.547+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279899.json to Snowflake stage
[2026-05-29T14:13:50.878+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776279989.json to Snowflake stage
[2026-05-29T14:13:51.233+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776280095.json to Snowflake stage
[2026-05-29T14:13:51.584+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776280189.json to Snowflake stage
[2026-05-29T14:13:51.963+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776280212.json to Snowflake stage
[2026-05-29T14:13:52.303+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1776280234.json to Snowflake stage
